vt_group_no,transaction_id,hotel_id,hotel_name,reseller_id,reseller_name,ticket_id,ticketpriceschedule_id,version,order_confirm_date,saleprice,purchaseprice,merchantcommission,distributorcommission,hgscommission,salepriceshouldbe,museumfeeshouldbe,merchantfeeshouldbe,hotelfeeshouldbe,hgsfeeshouldbe,modifiedshouldbe,pricinglevel
173731608310944,173731608310944002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,87582,438532,1,2025-01-19 20:01:27,130,0,0,0,130,130,0,0,0,127.2,2024-12-02 11:10:00,clcsetting
173731608310944,173731608310944001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,87582,438532,1,2025-01-19 20:01:27,130,0,0,0,130,130,0,0,0,127.2,2024-12-02 11:10:00,clcsetting
173731608310944,173731608310944009R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,87582,438532,1,2025-01-19 20:01:27,130,0,0,0,130,130,0,0,0,127.2,2024-12-02 11:10:00,clcsetting
173731608310944,173731608310944003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,87582,438532,1,2025-01-19 20:01:27,130,0,0,0,130,130,0,0,0,127.2,2024-12-02 11:10:00,clcsetting
173731608310944,173731608310944008R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,87582,438532,1,2025-01-19 20:01:27,130,0,0,0,130,130,0,0,0,127.2,2024-12-02 11:10:00,clcsetting
173731608310944,173731608310944005R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,87582,438532,1,2025-01-19 20:01:27,130,0,0,0,130,130,0,0,0,127.2,2024-12-02 11:10:00,clcsetting
173731608310944,173731608310944004R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,87582,438532,1,2025-01-19 20:01:27,130,0,0,0,130,130,0,0,0,127.2,2024-12-02 11:10:00,clcsetting
173731608310944,173731608310944007R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,87582,438532,1,2025-01-19 20:01:27,130,0,0,0,130,130,0,0,0,127.2,2024-12-02 11:10:00,clcsetting
173731608310944,173731608310944006R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,87582,438532,1,2025-01-19 20:01:27,130,0,0,0,130,130,0,0,0,127.2,2024-12-02 11:10:00,clcsetting
173731958781238,173731958781238002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 20:48:24,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731223626387,173731223626387003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 18:55:28,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731838078281,173731838078281003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 20:31:14,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173732384659974,173732384659974001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 22:07:45,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731838078281,173731838078281004R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 20:31:14,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731838078281,173731838078281002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 20:31:14,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730048441205,173730048441205001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 15:36:17,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731958781238,173731958781238001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 20:48:24,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730744759309,173730744759309001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 17:28:37,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731951827903,173731951827903013R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 20:52:16,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731223626387,173731223626387001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 18:55:28,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730744759309,173730744759309002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 17:28:37,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730048441205,173730048441205002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 15:36:17,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731223626387,173731223626387002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 18:55:28,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731838078281,173731838078281001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421823,1,2025-01-19 20:31:14,115,0,0,0,75.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730261109157,173730261109157001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,422869,1,2025-01-19 16:09:45,130,0,0,0,90.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730261109157,173730261109157002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,422869,1,2025-01-19 16:09:45,130,0,0,0,90.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730900186325,173730900186325002R,6458,Travel Trade Group,541,Evan Evans,13829,421827,1,2025-01-19 17:50:55,105,0,0,26.25,39.05,105,0,0,26.25,78.75,2025-01-20 04:50:42,catalogsetting
173727844149620,173727844149620001R,6458,Travel Trade Group,541,Evan Evans,13829,421827,1,2025-01-19 09:21:06,105,0,0,26.25,39.05,105,0,0,26.25,78.75,2025-01-20 04:50:42,catalogsetting
173727844149620,173727844149620002R,6458,Travel Trade Group,541,Evan Evans,13829,421827,1,2025-01-19 09:21:06,105,0,0,26.25,39.05,105,0,0,26.25,78.75,2025-01-20 04:50:42,catalogsetting
173730900186325,173730900186325001R,6458,Travel Trade Group,541,Evan Evans,13829,421827,1,2025-01-19 17:50:55,105,0,0,26.25,39.05,105,0,0,26.25,78.75,2025-01-20 04:50:42,catalogsetting
173731779284003,173731779284003002R,7055,"St James Court, A Taj Hotel CC",541,Evan Evans,13829,421827,1,2025-01-19 20:32:02,105,0,0,26.25,39.05,105,0,0,26.25,78.75,2025-01-20 04:50:42,catalogsetting
173731779284003,173731779284003001R,7055,"St James Court, A Taj Hotel CC",541,Evan Evans,13829,421827,1,2025-01-19 20:32:02,105,0,0,26.25,39.05,105,0,0,26.25,78.75,2025-01-20 04:50:42,catalogsetting
173731951827903,173731951827903002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15605,339947,1,2025-01-19 20:52:16,115,0,0,0,115,115,115,0,0,0,2025-01-13 11:43:53,clcsetting
